objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648702966530181,183.5695192,-1.105243624,19.12726,17.9419,17.4106,17.19551,17.08873,752,301,1,267,3722250738244624384,STAR,0.00138471,3306,54922,93
1237648702966399088,183.2930157,-1.19554066,19.4189,19.26654,18.84102,18.86815,18.98317,752,301,1,265,323193780343695360,QSO,1.131862,287,52023,220
1237648702966399072,183.2498003,-1.116653049,19.15237,17.99284,17.60832,17.47534,17.43415,752,301,1,265,363688511871674368,STAR,0.000209867,323,51615,83
1237648702966399012,183.2391588,-1.062697246,17.40384,16.44162,16.23563,16.186,16.21599,752,301,1,265,3722261458482995200,STAR,0.000222329,3306,54922,132
1237648702967447665,185.6425936,-1.169813388,18.91379,17.85946,17.43954,17.11021,16.91123,752,301,1,281,324260031358855168,GALAXY,0.06181338,288,52000,3
1237648702967447657,185.6353504,-1.20989666,18.18849,17.00276,16.55171,16.30584,16.21456,752,301,1,281,324260581114669056,GALAXY,0.04931947,288,52000,5
1237648702967447590,185.6775385,-1.24397619,17.12088,15.43128,14.82004,14.63519,14.54498,752,301,1,281,2880122949661124608,STAR,-0.00011085,2558,54140,258
1237648702967447565,185.5785861,-1.050556696,18.52118,17.25332,16.69353,16.49101,16.38326,752,301,1,281,2880120475759962112,STAR,0.000168947,2558,54140,249
1237648702967447669,185.6514316,-1.159199295,19.4645,18.60497,18.27797,18.13622,18.02374,752,301,1,281,4252785719322630144,STAR,0.000261873,3777,55210,952
1237648702967447679,185.686642,-1.137038291,19.03165,17.2688,16.4058,16.00439,15.67268,752,301,1,281,324260306236762112,GALAXY,0.06637767,288,52000,4
1237648702967447690,185.7078771,-1.110030513,19.1993,18.27246,17.78881,17.51302,17.33675,752,301,1,281,324262505260017664,GALAXY,0.1460524,288,52000,12
1237648702967513092,185.7264517,-1.14724126,18.82508,17.86928,17.5745,17.4378,17.3858,752,301,1,282,2880109755521591296,STAR,0.000372674,2558,54140,210
1237648702967513112,185.7608342,-1.162937821,16.75213,15.18637,14.56197,14.30565,14.19831,752,301,1,282,2880110030399498240,STAR,0.000138798,2558,54140,211
1237648702967513128,185.7945932,-1.189711168,18.04553,16.80758,16.32698,16.14119,16.06524,752,301,1,282,2880109480643684352,STAR,0.000152768,2558,54140,209
1237648702967513142,185.8189787,-1.164286018,17.5515,16.5844,16.20872,16.05169,15.99892,752,301,1,282,2891367655296493568,STAR,0.00076811,2568,54153,206
1237648702967513158,185.7162004,-1.241269358,19.35375,18.41722,18.13926,18.03457,17.99099,752,301,1,282,2891382498703468544,STAR,0.000405154,2568,54153,260
1237648702967185571,185.0987977,-1.135486396,19.35455,17.83797,17.03366,16.61604,16.34077,752,301,1,277,324285595004200960,GALAXY,0.1188491,288,52000,96
1237646381542606068,94.5030469,0.475851472,18.96574,17.49392,16.80027,16.5846,16.32055,211,301,5,357,1417553661621463040,STAR,2.155267E-05,1259,52931,166
1237646381542606175,94.51335469,0.566978918,18.8781,17.18946,16.36462,16.03709,15.80739,211,301,5,357,1417555036010997760,STAR,0.000102055,1259,52931,171
1237646381542670881,94.59731098,0.5008192,18.80745,17.31809,17.08153,17.01195,16.92199,211,301,5,358,1417555585766811648,STAR,0.000251916,1259,52931,173
1237646381542671295,94.66229345,0.559812995,17.9974,16.56571,16.34072,16.27827,16.17252,211,301,5,358,1417551462598207488,STAR,0.000176504,1259,52931,158
1237646381542671504,94.53828779,0.581610869,19.4468,17.49869,16.64163,16.32379,16.10441,211,301,5,358,1417555310888904704,STAR,0.00015113,1259,52931,172
1237646381542736528,94.75659566,0.545980639,18.39291,16.89005,16.64779,16.57342,16.45864,211,301,5,359,1417551737476114432,STAR,0.000184656,1259,52931,159
1237646381542736533,94.75952303,0.489206289,17.41394,15.82041,15.54785,15.44004,15.32297,211,301,5,359,1417549263574951936,STAR,0.000154103,1259,52931,150
1237646381542736734,94.78157627,0.469236414,17.92325,16.08336,15.24429,14.97743,14.68391,211,301,5,359,1417551187720300544,STAR,0.000165467,1259,52931,157
1237646381542736879,94.80144598,0.480031064,18.00599,16.59239,15.96268,15.68571,15.48704,211,301,5,359,1417548713819138048,STAR,0.000248549,1259,52931,148
1237646381542737163,94.68555372,0.597225491,19.17918,17.62022,16.81505,16.45292,16.17883,211,301,5,359,1417547889185417216,STAR,0.000198203,1259,52931,145
1237646381542801444,94.82660781,0.511579298,17.24014,15.74588,15.49622,15.42726,15.36728,211,301,5,360,1417552012354021376,STAR,0.000153377,1259,52931,160
1237646381542801759,94.88321239,0.528810616,19.06549,17.41749,17.04866,16.9136,16.79453,211,301,5,360,1417550088208672768,STAR,0.000161408,1259,52931,153
1237646381542802267,94.95027439,0.490993466,18.60203,17.0015,16.70114,16.58815,16.47389,211,301,5,360,1417541292115650560,STAR,0.000191419,1259,52931,121
1237646381542802123,94.9372491,0.426849838,16.83226,15.54497,15.32333,15.29553,15.22289,211,301,5,360,1417550363086579712,STAR,6.809406E-05,1259,52931,154
1237646586100318755,82.67747226,-0.601515653,19.42872,17.67688,16.75712,16.30523,16.02833,259,301,2,508,2310421432691091456,STAR,0.000125828,2052,53401,272
1237646586100318579,82.75147789,-0.619038574,18.41981,17.11279,16.5295,16.25244,16.10431,259,301,2,508,2310409887818999808,STAR,3.383154E-05,2052,53401,230
1237646586100318560,82.74857571,-0.477925539,18.85306,16.75453,15.80199,15.38145,15.18048,259,301,2,508,2310409612941092864,STAR,6.473744E-05,2052,53401,229
1237646586099990569,81.88216649,-0.603347412,17.83624,16.61213,16.35788,16.27118,16.28676,259,301,2,503,2310429953906206720,STAR,0.000222987,2052,53401,303
1237646585563840555,83.55350999,-1.005593974,16.84814,15.45056,14.84045,14.57015,14.44254,259,301,1,514,2310362333941098496,STAR,0.00014794,2052,53401,57
1237646585563775441,83.48451277,-0.852578339,19.17518,17.40466,16.63892,16.28806,16.08584,259,301,1,513,2310360409795749888,STAR,0.000273424,2052,53401,50
1237646585563644094,83.12599866,-0.923496333,18.17068,16.04599,15.22213,14.92224,14.7631,259,301,1,511,2310370580278306816,STAR,2.064206E-05,2052,53401,87
1237646585563643993,83.09738392,-0.840216844,18.00216,16.51429,15.85651,15.55195,15.39107,259,301,1,511,2310371130034120704,STAR,0.000158481,2052,53401,89
1237646585559187545,72.93996834,-0.946746735,18.60869,17.2593,16.75288,16.56083,16.48983,259,301,1,443,897347211522762752,STAR,0.000285046,797,52263,18
1237646549577891934,55.02161608,1.274500757,19.47332,17.17348,16.22887,15.84207,15.59702,250,301,6,276,8254176013296359424,STAR,-5.38E-05,7331,56658,741
1237646382080262656,96.29467872,0.879354529,17.75707,16.10103,15.67765,15.49004,15.32634,211,301,6,369,1417674333022611456,STAR,2.191442E-05,1259,52931,605
1237646382080262641,96.27467404,0.842180394,18.0279,16.33461,15.93053,15.75444,15.63022,211,301,6,369,1417675157656332288,STAR,0.00017429,1259,52931,608
1237646382080197278,96.12971794,0.996759246,19.06342,17.39516,16.82567,16.55591,16.39878,211,301,6,368,1417675707412146176,STAR,0.000142418,1259,52931,610
1237646382080131559,95.97277603,0.847201351,19.12568,17.28396,16.37393,15.96665,15.7325,211,301,6,367,1417664712295868416,STAR,3.883882E-05,1259,52931,570
1237646382080065674,95.73998592,0.861880416,18.01439,16.37078,15.91688,15.71746,15.55174,211,301,6,366,1417652892545869824,STAR,0.000171422,1259,52931,527
1237646382080065645,95.73140238,1.001972267,18.11789,16.60105,16.09809,15.879,15.68943,211,301,6,366,1417652342790055936,STAR,0.000323895,1259,52931,525
1237646382080001750,95.71152143,0.941153022,19.53724,17.72064,17.18238,16.93931,16.73787,211,301,6,365,1417653442301683712,STAR,0.000150417,1259,52931,529
1237646382080000516,95.69895541,0.975633624,18.94802,17.21039,16.73198,16.487,16.31816,211,301,6,365,1417651793034242048,STAR,0.000272126,1259,52931,523
1237646382080000397,95.66534099,0.880276948,18.3962,16.77513,16.34279,16.14446,15.98003,211,301,6,365,1417651243278428160,STAR,0.000216307,1259,52931,521
1237646382080000047,95.57633497,0.988936063,18.23109,16.5295,16.04592,15.82595,15.61837,211,301,6,365,1417653717179590656,STAR,0.000124007,1259,52931,530
1237646382080000028,95.57189081,0.953216651,18.65735,17.15746,16.70656,16.49734,16.32541,211,301,6,365,1417651518156335104,STAR,0.000184008,1259,52931,522
1237646382079935586,95.46069815,0.870409418,19.31363,17.59785,17.14318,16.95871,16.77838,211,301,6,364,1417642447185405952,STAR,0.000147664,1259,52931,489
1237646382079935021,95.52951638,0.970692871,18.14242,16.30503,15.76425,15.50117,15.26982,211,301,6,364,1417652067912148992,STAR,9.752477E-05,1259,52931,524
1237646382079934911,95.50218783,0.96326345,17.76895,16.28859,15.89664,15.73424,15.52795,211,301,6,364,1417653992057497600,STAR,0.000173668,1259,52931,531
1237646382079934844,95.48751035,0.925311898,18.73705,17.06851,16.68374,16.52062,16.36351,211,301,6,364,1417640248162150400,STAR,0.000131164,1259,52931,481
1237646382079934757,95.47824954,0.842532115,18.74132,17.29397,16.92432,16.83919,16.63634,211,301,6,364,1417640797917964288,STAR,0.000157831,1259,52931,483
1237646382079869702,95.41001161,0.838141218,17.91277,16.32434,15.58422,15.25003,15.03421,211,301,6,363,1417645195964475392,STAR,0.000184754,1259,52931,499
1237646382079869603,95.39234187,0.919354746,17.47349,15.74609,15.22986,15.0143,14.84528,211,301,6,363,1417643821574940672,STAR,7.752631E-05,1259,52931,494
1237646382079869104,95.29936364,0.890374688,18.72799,17.11779,16.48396,16.15507,15.94641,211,301,6,363,1417643271819126784,STAR,8.62891E-05,1259,52931,492
1237646382079869048,95.28709856,0.966918446,18.84067,17.15699,16.6308,16.37362,16.20866,211,301,6,363,1417641072795871232,STAR,7.416188E-05,1259,52931,484
1237646382079805324,95.26604852,0.940066574,19.25114,17.48392,16.90086,16.62302,16.42503,211,301,6,362,1417637499383080960,STAR,0.000129977,1259,52931,471
1237646382079804742,95.18280024,1.005300967,19.22186,17.43544,16.93804,16.69567,16.53674,211,301,6,362,1417634750604011520,STAR,8.162519E-05,1259,52931,461
1237646382079804099,95.27004116,0.858987207,18.66571,16.94823,16.53554,16.35474,16.18672,211,301,6,362,1417639423528429568,STAR,0.000162816,1259,52931,478
1237646382079804054,95.24288661,0.970593396,17.70423,15.86547,15.29097,15.01794,14.82418,211,301,6,362,1417635300359825408,STAR,0.000118005,1259,52931,463
1237646382079803989,95.22817945,0.891174873,18.6706,16.99171,16.56165,16.38384,16.19722,211,301,6,362,1417635025481918464,STAR,0.000142677,1259,52931,462
1237646382079803986,95.22612606,0.957250973,19.06613,17.34293,16.72245,16.43074,16.22178,211,301,6,362,1417636399871453184,STAR,7.160752E-05,1259,52931,467
1237646382079803959,95.22195049,0.868323529,18.73745,17.17706,16.44903,16.12138,15.88933,211,301,6,362,1417637224505174016,STAR,0.000105119,1259,52931,470
1237646382079738485,95.06938207,0.967119305,18.74394,17.15325,16.83968,16.71426,16.59256,211,301,6,361,1417637774260987904,STAR,0.000138719,1259,52931,472
1237646382079738484,95.09141121,0.963893844,18.87002,17.05878,16.19566,15.7946,15.59423,211,301,6,361,1417638049138894848,STAR,0.000112947,1259,52931,473
1237646382079738335,95.03872676,0.908545742,18.90392,17.22835,16.88944,16.76901,16.66028,211,301,6,361,1417638873772615680,STAR,0.000183509,1259,52931,476
1237646382079672786,94.91536686,0.9453789,18.39684,16.85855,16.57424,16.48492,16.37063,211,301,6,360,1417631452069128192,STAR,0.000135536,1259,52931,449
1237646382079672642,94.88388704,0.990685512,17.03847,15.47224,15.10297,14.97051,14.88297,211,301,6,360,1417631177191221248,STAR,1.177334E-05,1259,52931,448
1237646382079672588,94.87250989,0.838282237,17.95106,16.34713,15.94763,15.79226,15.67866,211,301,6,360,1417632551580755968,STAR,7.648661E-05,1259,52931,453
1237646382079672552,94.86108244,0.898412512,19.07524,17.7593,16.9488,16.63678,16.42654,211,301,6,360,1417634475726104576,STAR,0.000248952,1259,52931,460
1237646382079607680,94.81333019,0.980798043,17.26491,16.00246,15.79299,15.68303,15.66872,211,301,6,359,1417629527923779584,STAR,0.000156835,1259,52931,442
1237646382079607640,94.81361725,0.86415916,16.59753,15.22174,14.99648,14.93687,14.85173,211,301,6,359,1417633651092383744,STAR,0.000152118,1259,52931,457
1237646382079606869,94.67949899,0.84232101,18.47695,16.94897,16.68126,16.59887,16.51747,211,301,6,359,1417632001824942080,STAR,0.000206783,1259,52931,451
1237646382079542274,94.63698134,0.974962988,17.14729,15.61818,15.41421,15.62225,15.27046,211,301,6,358,1417598466720294912,GALAXY,0,1259,52931,329
1237646382079541994,94.60407355,0.925177408,17.9441,16.4345,15.99379,15.80487,15.69043,211,301,6,358,1417618807685408768,STAR,5.405584E-05,1259,52931,403
1237646382079541912,94.59326567,0.948959742,19.05359,17.62755,17.16829,16.96772,16.8418,211,301,6,358,1417619907197036544,STAR,9.675207E-05,1259,52931,407
1237646382079541699,94.57799762,0.877346809,18.28783,16.75007,16.42278,16.31002,16.22085,211,301,6,358,1417623205731919872,STAR,0.000130438,1259,52931,419
1237646382079541631,94.5704586,0.997188229,18.69618,17.23645,16.63734,16.35796,16.14807,211,301,6,358,1417620456952850432,STAR,0.000252992,1259,52931,409
1237646382079541357,94.53207616,0.877230173,17.60406,16.05053,15.6941,15.82955,15.44363,211,301,6,358,1417621831342385152,STAR,8.802761E-05,1259,52931,414
1237646382079541340,94.53174785,0.92883193,17.79365,16.34339,15.96839,16.11843,15.72173,211,301,6,358,1417621281586571264,STAR,8.396233E-05,1259,52931,412
1237646382079477651,94.48065021,1.002059155,19.42064,17.82483,17.0706,16.7584,16.54133,211,301,6,357,1417607537691224064,STAR,0.00028203,1259,52931,362
1237646382079476967,94.51833361,0.839123718,18.66632,17.20002,17.04716,17.02973,16.97475,211,301,6,357,1417622655976105984,STAR,0.000194125,1259,52931,417
1237646382079476799,94.49881867,0.989660893,18.09839,16.7229,16.13046,15.87395,15.6924,211,301,6,357,1417611111104014336,STAR,1.952831E-05,1259,52931,375
1237646382079476342,94.4436366,0.852922386,18.438,16.98621,16.83219,16.81224,16.79249,211,301,6,357,1417612210615642112,STAR,0.000143677,1259,52931,379
1237646382079476277,94.43369022,0.972052207,18.79271,17.0423,16.26496,15.91869,15.74185,211,301,6,357,1417612485493549056,STAR,0.000136887,1259,52931,380
1237646382079476040,94.40986946,0.934068419,18.83441,17.30827,17.13613,17.08087,17.01908,211,301,6,357,1417609186958665728,STAR,0.00011246,1259,52931,368
1237646382079475776,94.3816607,0.942048617,17.68669,16.2624,16.12234,16.09487,16.03698,211,301,6,357,1417608362324944896,STAR,0.000256182,1259,52931,365
1237646382079410288,94.23406952,0.851906072,18.52553,17.03238,16.85107,16.81772,16.75011,211,301,6,356,1417608637202851840,STAR,0.000164379,1259,52931,366
1237646382079345434,94.17779515,0.89113126,17.69851,16.2152,16.04205,16.00999,15.95449,211,301,6,355,1417610011592386560,STAR,0.000158071,1259,52931,371
1237646382079344941,94.10025982,0.887737734,17.80895,16.50277,16.38258,16.38958,16.3496,211,301,6,355,1417609736714479616,STAR,0.000156526,1259,52931,370
1237646381543457037,96.34636316,0.544492547,18.30842,16.74553,16.13087,15.86162,15.67015,211,301,5,370,1417677081801680896,STAR,-5.98E-06,1259,52931,615
1237646381543392348,96.31548469,0.492193177,18.74846,17.1299,16.80702,16.66729,16.58632,211,301,5,369,1417676806923773952,STAR,4.683716E-05,1259,52931,614
1237646381543392238,96.30331123,0.573874421,18.77757,17.19927,16.88318,16.74328,16.62185,211,301,5,369,1417674058144704512,STAR,0.000147034,1259,52931,604
1237646381543392145,96.2904043,0.514425428,18.98555,17.5356,16.88702,16.57191,16.35599,211,301,5,369,1417673783266797568,STAR,-3.10E-05,1259,52931,603
1237646381543391669,96.23489839,0.423975693,17.25586,15.61591,15.23917,15.08549,14.96183,211,301,5,369,1417676257167960064,STAR,-7.22E-06,1259,52931,612
1237646381543391627,96.22423354,0.579467037,18.17291,16.53512,16.09147,15.95605,15.76946,211,301,5,369,1417678181313308672,STAR,0.000180602,1259,52931,619
1237646381543391583,96.21868127,0.501829753,17.8195,16.23672,15.8719,15.69587,15.52072,211,301,5,369,1417678456191215616,STAR,8.23997E-05,1259,52931,620
1237646381543391575,96.2143319,0.548006885,18.97108,17.36816,17.00725,16.84802,16.69489,211,301,5,369,1417675432534239232,STAR,0.000180221,1259,52931,609
1237646381543391529,96.20762835,0.525075427,17.98662,16.31779,15.93669,15.77361,15.65163,211,301,5,369,1417676532045867008,STAR,0.000124589,1259,52931,613
1237646381543327768,96.13386716,0.489714414,19.35614,17.61792,17.14062,16.90602,16.75252,211,301,5,368,1417666636441217024,STAR,5.843689E-05,1259,52931,577
1237646381543327292,96.0625995,0.438141353,19.5185,17.76141,17.28286,17.06664,16.90568,211,301,5,368,1417665536929589248,STAR,0.000133656,1259,52931,573
1237646381543326833,96.16808772,0.523330492,17.59094,15.94305,15.5397,15.36399,15.19598,211,301,5,368,1417673508388890624,STAR,8.0479E-05,1259,52931,602
1237646381543326601,96.12947402,0.463706637,17.80049,16.07006,15.59613,15.39318,15.23292,211,301,5,368,1417667461074937856,STAR,0.000140518,1259,52931,580
1237646381543326542,96.12203901,0.522093903,17.64937,15.97161,15.56323,15.38022,15.24003,211,301,5,368,1417665811807496192,STAR,0.00021012,1259,52931,574
1237646381543326287,96.11593892,0.569639575,18.93719,16.56962,15.48036,15.06133,14.81821,211,301,5,368,1417666911319123968,STAR,0.000117932,1259,52931,578
1237646381543326009,96.04887964,0.58053795,17.75344,16.01047,15.51287,15.29505,15.12461,211,301,5,368,1417664162540054528,STAR,0.000112864,1259,52931,568
1237646381543325913,96.03725194,0.558609201,18.79584,17.11262,16.69115,16.51002,16.334,211,301,5,368,1417667186197030912,STAR,0.000115339,1259,52931,579
1237646381543325905,96.03670489,0.468477889,18.80263,17.18342,16.77893,16.59879,16.44357,211,301,5,368,1417663887662147584,STAR,0.000116434,1259,52931,567
1237646381543325839,96.02902532,0.589748098,17.61158,15.86968,15.39163,15.18249,15.02199,211,301,5,368,1417663337906333696,STAR,0.000112192,1259,52931,565
1237646381543325835,96.02778999,0.509547309,17.27788,15.63853,15.29246,15.15025,15.025,211,301,5,368,1417663063028426752,STAR,0.0001915,1259,52931,564
1237646381543261157,96.00814084,0.520645978,18.6527,17.6822,19.21713,16.95719,16.39001,211,301,5,367,1417662788150519808,STAR,0.000202467,1259,52931,563
1237646381543260744,95.95550246,0.420125114,17.36212,15.9069,15.5216,15.35418,15.20343,211,301,5,367,1417655916202846208,STAR,0.000147929,1259,52931,538
1237648702967185504,185.012159,-1.111441109,19.53371,18.75589,18.2605,17.93995,17.8565,752,301,1,277,324281471835596800,GALAXY,0.1572003,288,52000,81
1237648702967185465,185.0694218,-1.051128906,17.262,16.14839,15.70567,15.5601,15.49644,752,301,1,277,324284770370480128,STAR,0.000156675,288,52000,93
1237648702967185438,185.0308311,-1.080648157,16.96588,16.02831,15.7549,15.64717,15.60259,752,301,1,277,2880131470876239872,STAR,0.000762383,2558,54140,289
1237648702967054436,184.7512582,-1.114898426,19.42303,17.9242,17.15133,16.72932,16.40958,752,301,1,275,324293841341409280,GALAXY,0.1201394,288,52000,126
1237648702967054406,184.7061704,-1.236947134,17.78422,16.50031,15.87221,15.49801,15.28736,752,301,1,275,324315831573964800,GALAXY,0.06989451,288,52000,206
1237648702967578671,185.9556034,-1.121280204,15.19889,14.31452,14.05697,13.92906,13.91172,752,301,1,283,2880087490411128832,STAR,-0.000142278,2558,54140,129
1237648702967578701,185.8651533,-1.13614273,19.33216,17.8797,17.32971,17.11149,17.02826,752,301,1,283,2880107281620428800,STAR,0.000147598,2558,54140,201
1237648702967578753,185.9868527,-1.228780693,19.40865,18.44202,18.26136,18.21507,18.19971,752,301,1,283,2891366555784865792,STAR,-0.000507626,2568,54153,202
1237648702966923474,184.3880302,-1.193133102,19.24533,18.13623,17.77322,17.5135,17.37947,752,301,1,273,324329025713498112,GALAXY,0.07794146,288,52000,254
1237648702966923367,184.4405713,-1.199248473,18.06068,17.04281,16.69544,16.39104,16.25756,752,301,1,273,324327376446056448,GALAXY,0.07009142,288,52000,248
1237648702966923328,184.3833561,-1.082959746,19.39275,17.921,17.06458,16.63083,16.33663,752,301,1,273,324327926201870336,GALAXY,0.1586266,288,52000,250
1237648702966923322,184.3707509,-1.066392518,19.24695,18.14896,17.49914,17.11604,16.88354,752,301,1,273,324325727178614784,GALAXY,0.157098,288,52000,242
1237648702966923291,184.4761875,-1.179540456,18.16135,16.92731,17.02256,17.10938,17.11699,752,301,1,273,375038232359888896,STAR,-8.29E-05,333,52313,413
1237648702966792310,184.1529643,-1.082339667,18.48495,17.38919,17.0689,16.88264,16.72604,752,301,1,271,323136880616957952,GALAXY,0.02136928,287,52023,13
1237648702966792250,184.1879519,-1.05461744,18.95729,17.75833,17.39408,17.22012,17.1327,752,301,1,271,323136330861144064,STAR,0.000566117,287,52023,11
1237648702966792209,184.1065887,-1.082451676,17.47356,16.51067,16.19124,16.04983,16.00548,752,301,1,271,323146776221607936,STAR,1.724697E-05,287,52023,49
1237648702966726812,183.9693989,-1.203989362,18.67024,17.3274,16.66518,16.27936,16.0012,752,301,1,270,323145951587887104,GALAXY,0.0795421,287,52023,46
1237648702967775293,186.3266109,-1.135814689,18.55963,17.2025,16.70125,16.49608,16.42471,752,301,1,286,2880077045050664960,STAR,0.000292551,2558,54140,91
1237648702967775355,186.3932068,-1.190303671,17.94483,17.02604,16.81097,16.70743,16.66667,752,301,1,286,2880078694318106624,STAR,-0.000267524,2558,54140,97
1237648702967775359,186.3988992,-1.071354122,19.24024,17.59986,17.0181,16.78427,16.66175,752,301,1,286,2880078969196013568,STAR,0.000107798,2558,54140,98
1237648702967775368,186.4587014,-1.219398892,17.80784,16.75063,16.33755,16.15759,16.09212,752,301,1,286,2880075120905316352,STAR,-4.65E-05,2558,54140,84
1237648702966661296,183.9018984,-1.173980925,19.34145,17.35735,16.3837,15.94484,15.58079,752,301,1,269,323144577198352384,GALAXY,0.07562031,287,52023,41
1237648702966661285,183.8593745,-1.195077527,19.57924,18.51185,18.18766,17.99696,17.93033,752,301,1,269,364793796791134208,STAR,0.000583659,324,51666,8
1237648702966661167,183.8260336,-1.109845895,18.35799,16.40675,15.52149,15.10122,14.76636,752,301,1,269,323155847192537088,GALAXY,0.07594268,287,52023,82
